Year,Educational Level,Academic Level,Type of Educational Institution,Region,State,Type of University,University Name,General Field,Field,Specialization,Education type,Gender,Nationality,Number of Students
1/1/2014,بكالوريوس,بكالوريوس,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الملك سعود,الصحة والرفاة,الصحة,الطب,منتظم,ذكر,سعودي,829
1/1/2016,دراسات عليا,ماجستير,جامعات حكومية,المدينة المنورة,المدينة المنورة,جامعة,جامعة طيبة,الأعمال والإدارة والقانون,الأعمال والإدارة,التسيير والإدارة,منتظم,أنثى,سعودي,11
1/1/2015,دبلوم متوسط,دبلوم متوسط,مؤسسات التعليم العالي الأخرى,الرياض,الرياض,معهد,معهد الإدارة العامة,الأعمال والإدارة والقانون,الأعمال والإدارة,مبيعات الجملة والتجزئة,منتظم,أنثى,سعودي,18
1/1/2013,بكالوريوس,بكالوريوس,جامعات حكومية,الشرقية,الإحساء,جامعة,جامعة الملك فيصل,تكنولوجيا الاتصالات والمعلومات,تكنولوجيا الاتصالات والمعلومات,تطوير وتحليل البرمجيات والتطبيقات,منتظم,ذكر,سعودي,20
1/1/2014,بكالوريوس,بكالوريوس,جامعات وكليات أهلية,الشرقية,الدمام,جامعة,جامعة الأمير محمد بن فهد,الأعمال والإدارة والقانون,الأعمال والإدارة,التسيير والإدارة,منتظم,ذكر,غير سعودي,6
1/1/2015,بكالوريوس,بكالوريوس,جامعات حكومية,المدينة المنورة,المدينة المنورة,جامعة,جامعة طيبة,الفنون والعلوم الإنسانية,اللغات,إكتساب اللغات,موازي,أنثى,سعودي,164
1/1/2014,دبلوم متوسط,دبلوم متوسط,جامعات حكومية,الحدود الشمالية,عرعر,جامعة,جامعة الحدود الشمالية,تكنولوجيا الاتصالات والمعلومات,تكنولوجيا الاتصالات والمعلومات,تطوير وتحليل البرمجيات والتطبيقات,منتظم,ذكر,سعودي,10
1/1/2017,دراسات عليا,ماجستير,جامعات حكومية,مكة المكرمة,جدة,جامعة,جامعة الملك عبدالعزيز,العلوم الطبيعية والرياضيات والإحصاء,العلوم البيولوجية والعلوم المتصلة بها,البيولوجيا,منتظم,ذكر,سعودي,3
1/1/2015,بكالوريوس,بكالوريوس,جامعات حكومية,مكة المكرمة,خليص,جامعة,جامعة جدة,الأعمال والإدارة والقانون,برامج غير محددة في الأعمال والإدارة والقانون,برامج غير محددة في الأعمال والإدارة والقانون,منتظم,أنثى,سعودي,1
1/1/2014,بكالوريوس,بكالوريوس,جامعات حكومية,الجوف,طبرجل,جامعة,جامعة الجوف,الفنون والعلوم الإنسانية,اللغات,الأدب وعلوم اللغات,منتظم,ذكر,سعودي,156
1/1/2013,بكالوريوس,بكالوريوس,جامعات حكومية,مكة المكرمة,مكة المكرمة,جامعة,جامعة أم القرى,التعليم,التعليم,تدريب المعلمين مع موضوع تخصصي,منتظم,ذكر,سعودي,10
1/1/2015,بكالوريوس,بكالوريوس,جامعات حكومية,المدينة المنورة,المدينة المنورة,جامعة,جامعة طيبة,الصحة والرفاة,الصحة,العلاج وإعادة التأهيل,منتظم,أنثى,سعودي,274
